"search-number","evaluation","evals-requested-so-far","grid-size-x*","grid-size-y*","speed-limit*","num-cars*","ticks-per-cycle*","current-auto?*","power?*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","82","500","5","5","1.8","200","20","true","true","""-1468957516""","69","200","140.63273453093814","15.384045186731123","157"
"1","83","500","5","5","1.8","200","20","true","true","""1101779707""","60","200","126.29141716566866","14.31373138589741","141"
"1","84","500","5","5","1.8","200","20","true","true","""1407475142""","70","200","131.8303393213573","11.695518700965344","141"
"1","85","500","5","5","1.8","200","20","true","true","""1761667775""","58","200","134.13572854291417","12.168711555385137","136"
"1","86","500","5","5","1.8","200","20","true","true","""-656455629""","74","200","161.06187624750498","22.337550529828796","142"
"1","87","500","5","5","1.8","200","20","true","true","""-1965937594""","55","200","128.58483033932137","9.36841979317522","108"
"1","88","500","5","5","1.8","200","20","true","true","""1201978744""","49","200","127.89021956087825","15.0530370408","164"
"1","89","500","5","5","1.8","200","20","true","true","""1028479656""","53","200","137.94610778443115","13.663202033943561","136"
"1","90","500","5","5","1.8","200","20","true","true","""988848834""","61","200","133.43912175648703","20.02105857409008","148"
"1","91","500","5","5","2.4000000000000004","200","20","true","false","""-248130976""","38","200","162.11776447105788","28.101887904416973","200"
"1","92","500","5","5","2.4000000000000004","200","20","true","false","""1015391647""","50","200","162.11976047904193","31.44807829967545","200"
"1","93","500","5","5","2.4000000000000004","200","20","true","false","""-731075570""","70","200","138.12375249500997","23.197772623478734","117"
"1","94","500","5","5","2.4000000000000004","200","20","true","false","""-1838371159""","39","200","178.89021956087825","37.57767853595641","200"
"1","95","500","5","5","2.4000000000000004","200","20","true","false","""-613300650""","45","200","144.86027944111777","24.901976610738274","195"
"1","96","500","5","5","2.4000000000000004","200","20","true","false","""1010927446""","45","200","163.37724550898204","35.56885437004692","200"
"1","97","500","5","5","2.4000000000000004","200","20","true","false","""-164719517""","64","200","170.99600798403193","36.32178387733638","200"
"1","98","500","5","5","2.4000000000000004","200","20","true","false","""-1760165207""","61","200","160.2375249500998","30.378898417517973","200"
"1","99","500","5","5","2.4000000000000004","200","20","true","false","""978515494""","52","200","175.96606786427145","29.789206876104895","200"
"1","100","500","5","5","2.4000000000000004","200","20","true","false","""-643054462""","45","200","156.37125748502993","39.128121501237125","200"
"1","101","500","5","5","1","200","20","true","true","""-1312188457""","59","200","142.27744510978044","13.05499407351382","136"
"1","102","500","5","5","1","200","20","true","true","""1147953508""","63","200","125.59880239520957","9.38662444986878","133"
"1","103","500","5","5","1","200","20","true","true","""-1629799646""","58","200","118.75249500998004","10.953657780051145","132"
"1","104","500","5","5","1","200","20","true","true","""515904193""","57","200","122.69461077844312","11.286653662543365","125"
"1","105","500","5","5","1","200","20","true","true","""-2076799843""","60","200","125.76646706586827","11.959571618306962","141"
"1","106","500","5","5","1","200","20","true","true","""-941162024""","57","200","123.43313373253493","10.39471115327787","105"
"1","107","500","5","5","1","200","20","true","true","""-711807300""","56","200","130.53493013972056","13.478771362594939","146"
"1","108","500","5","5","1","200","20","true","true","""-1325559415""","61","200","128.32335329341316","13.041136205597047","148"
"1","109","500","5","5","1","200","20","true","true","""-1720098718""","72","200","135.82634730538922","17.830529561152627","166"
"1","110","500","5","5","1","200","20","true","true","""53205530""","65","200","118.71057884231537","11.56036625130325","123"
"1","111","500","5","5","0.2","200","20","true","false","""1859744786""","51","200","118.56087824351297","28.407724062781682","109"
"1","112","500","5","5","0.2","200","20","true","false","""-338753736""","48","200","89.24151696606786","23.7200243021421","130"
"1","113","500","5","5","0.2","200","20","true","false","""-1212843109""","51","200","131.95009980039922","50.54138408265073","183"
"1","114","500","5","5","0.2","200","20","true","false","""-2144302804""","44","200","125.36726546906188","34.98995350536184","140"
"1","115","500","5","5","0.2","200","20","true","false","""1005538362""","38","200","70.87225548902195","10.454264617972644","99"
"1","116","500","5","5","0.2","200","20","true","false","""-407256830""","50","200","100.8003992015968","28.327585139582936","159"
